오름명,행정시,소재지,비고,표고,면적,형태,데이터기준일자
동수악,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,100,700,256640,원형(화구호),2022-02-14
동알오름,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 153,30,45,82517,말굽형(북동향),2022-02-14
돝오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산3,129,284.2,430425,원형,2022-02-14
두산봉,서귀포시,제주특별자치도 서귀포시 성산읍 시흥리 산1-5,101,126.5,924938,복합형,2022-02-14
둔지봉,제주시,제주특별자치도 제주시 구좌읍 한동리 산40,152,282.2,360185,말굽형(남향),2022-02-14
뒤굽은이,제주시,제주특별자치도 제주시 구좌읍 송당리 산 39-1,52,251.6,74274,말굽형(북향),2022-02-14
들레오름,제주시,제주특별자치도 제주시 월평동 665-2,40,347.9,92971,말굽형(남서향),2022-02-14
들리오름,제주시,제주특별자치도 제주시 오등동 158,47,542.4,47825,말굽형(북향),2022-02-14
따라비,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산62,107,342,448111,복합형,2022-02-14
마보기,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산83,45,559.7,57554,원추형,2022-02-14
마오름,제주시,제주특별자치도 제주시 한경면 저지리 산55-2,27,122,38946,말굽형(남향),2022-02-14
마은이,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 산203,47,552,115182,말굽형(북향),2022-02-14
마은이옆,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158,53,548.5,119062,말굽형(북동향),2022-02-14
마중오름,제주시,제주특별자치도 제주시 한경면 저지리 2143-18,44,168.6,120340,복합형,2022-02-14
만세동산,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,81,1606.2,239605,원추형,2022-02-14
말젯오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산14,13,102.5,0,원추형,2022-02-14
말찻,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,103,653.3,403935,말굽형(동향),2022-02-14
망동산,제주시,제주특별자치도 제주시 우도면 연평리 산19-1,30,87.5,47292,원추형,2022-02-14
망밭,서귀포시,제주특별자치도 서귀포시 서호동 73,43,52.6,61966,원추형,2022-02-14
매오름,서귀포시,제주특별자치도 서귀포시 표선면 표선리 2458-1,107,136.7,353972,말굽형(북서향),2022-02-14
머체오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,51,425.8,125020,원추형,2022-02-14
명월오름,제주시,제주특별자치도 제주시 한림읍 명월리 1105,39,148.5,60359,말굽형(남향),2022-02-14
모구리알오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2960-1,18,202.6,19641,말굽형(남향),2022-02-14
모구리오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2960-1,82,232,202089,말굽형(남동향),2022-02-14
모라이악,서귀포시,제주특별자치도 서귀포시 색달동 산16-1,66,510.7,206773,원형,2022-02-14
모슬봉,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 3540-2,131,180.5,453030,원추형,2022-02-14
모지오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산22,86,305.8,535643,말굽형(북동향),2022-02-14
묘산봉,제주시,제주특별자치도 제주시 구좌읍 서김녕리 369,81,116.3,157609,말굽형(남향),2022-02-14
무악,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산12,126,496.1,314656,말굽형(남향),2022-02-14
문도지오름,제주시,제주특별자치도 제주시 한림읍 금악리 3444,55,260.3,106436,말굽형(동향),2022-02-14
문석이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산234,67,291.8,228379,복합형,2022-02-14
물메,제주시,제주특별자치도 제주시 애월읍 수산리 산1-1,92,121.5,1932024,원추형(분화구흔적),2022-02-14
물영아리,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 산189,128,508,717013,원형(화구호),2022-02-14
물오름,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산 10,114,838.6,346856,말굽형(남동향),2022-02-14
물장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,120,937.2,628987,원형(화구호),2022-02-14
물찻,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,167,717.2,744401,복합형(화구호),2022-02-14
미악산,서귀포시,제주특별자치도 서귀포시 동홍동 산7,113,567.5,424611,말굽형(남향),2022-02-14
민대가리동산,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,76,1600.5,184192,원추형,2022-02-14
민머루오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-3,82,882.7,387181,원추형,2022-02-14
민오름,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 158,97,446.8,371170,말굽형(동향),2022-02-14
민오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산156,102,362,412245,말굽형(북동향),2022-02-14
민오름,제주시,제주특별자치도 제주시 오라이동 산28,117,251.7,474001,말굽형(북동향),2022-02-14
민오름,제주시,제주특별자치도 제주시 조천읍 선흘리 산141,118,518.3,400724,복합형,2022-02-14
민오름(무녜오름),제주시,제주특별자치도 제주시 봉개동 산64,136,651,518910,복합형,2022-02-14
바농오름,제주시,제주특별자치도 제주시 조천읍 교래리 산108,142,552.1,473953,복합형,2022-02-14
큰바리메,제주시,제주특별자치도 제주시 애월읍 어음리 산21,213,763.4,1288365,원형,2022-02-14
밝은오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 1138,40,290,54945,말굽형(북향),2022-02-14
밝은오름,제주시,제주특별자치도 제주시 한림읍 금악리 18-1,15,379.9,15698,말굽형(북향),2022-02-14
밝은오름,제주시,제주특별자치도 제주시 한림읍 상명리 1696,43,182.5,78972,말굽형(북향),2022-02-14
밝은오름,제주시,제주특별자치도 제주시 해안동 355-21,37,337,33180,말굽형(남향),2022-02-14
밧돌오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산66-1,103,352.8,372226,말굽형(북동향),2022-02-14
밧세미,제주시,제주특별자치도 제주시 봉개동 산3,92,391.7,114322,말굽형(북동향),2022-02-14
방애오름,서귀포시,제주특별자치도 서귀포시 동홍동 산1,129,1699.3,395807,원추형,2022-02-14
방애오름,제주시,제주특별자치도 제주시 조천읍 교래리 산45,48,453.4,475019,원형,2022-02-14
방일봉,제주시,제주특별자치도 제주시 노형동 2093-1,20,120,22101,원추형,2022-02-14
방주오름,제주시,제주특별자치도 제주시 한림읍 명월리 679,8,163.3,9975,원추형,2022-02-14
백약이오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산1,132,356.9,581463,원형,2022-02-14
번널오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산10,62,272.3,129713,원추형(침식),2022-02-14
법정악,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,90,760.1,97901,원추형,2022-02-14
베두리오름,제주시,제주특별자치도 제주시 연동 270-3,10,85,21438,말굽형(남향),2022-02-14
베릿네오름,서귀포시,제주특별자치도 서귀포시 중문동 2284,61,101.2,159357,말굽형(북향),2022-02-14
별도봉,제주시,제주특별자치도 제주시 화북일동 4472,101,136,242535,원추형,2022-02-14
병곳오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산8,113,288.1,482903,말굽형(북동향),2022-02-14
보롬이,서귀포시,제주특별자치도 서귀포시 대정읍 무릉1리 3526-1,14,49,15717,원추형,2022-02-14
보롬이,서귀포시,제주특별자치도 서귀포시 서홍동 1212,30,85.4,109615,원추형,2022-02-14
보리악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,130,739.6,442410,원추형,2022-02-14
